霸王别姬主演：张国荣,张丰毅,巩俐上映时间：1993-01-01(中国香港)
肖申克的救赎主演：蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿上映时间：1994-10-14(美国)
罗马假日主演：格利高里·派克,奥黛丽·赫本,埃迪·艾伯特上映时间：1953-09-02(美国)
这个杀手不太冷主演：让·雷诺,加里·奥德曼,娜塔莉·波特曼上映时间：1994-09-14(法国)
教父主演：马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩上映时间：1972-03-24(美国)
泰坦尼克号主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩上映时间：1998-04-03
龙猫主演：日高法子,坂本千夏,糸井重里上映时间：1988-04-16(日本)
唐伯虎点秋香主演：周星驰,巩俐,郑佩佩上映时间：1993-07-01(中国香港)
魂断蓝桥主演：费雯·丽,罗伯特·泰勒,露塞尔·沃特森上映时间：1940-05-17(美国)
千与千寻主演：柊瑠美,入野自由,夏木真理上映时间：2001-07-20(日本)
乱世佳人主演：费雯·丽,克拉克·盖博,奥利维娅·德哈维兰上映时间：1939-12-15(美国)
喜剧之王主演：周星驰,莫文蔚,张柏芝上映时间：1999-02-13(中国香港)
天空之城主演：寺田农,鹫尾真知子,龟山助清上映时间：1992
大闹天宫主演：邱岳峰,毕克,富润生上映时间：1965-12-31
辛德勒的名单主演：连姆·尼森,拉尔夫·费因斯,本·金斯利上映时间：1993-12-15(美国)
音乐之声主演：朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克上映时间：1965-03-02(美国)
春光乍泄主演：张国荣,梁朝伟,张震上映时间：1997-05-30(中国香港)
剪刀手爱德华主演：约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特上映时间：1990-12-06(美国)
美丽人生主演：罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼上映时间：1997-12-20(意大利)
海上钢琴师主演：蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩上映时间：1998-10-28(意大利)
黑客帝国主演：基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩上映时间：2000-01-14
指环王3：王者无敌主演：伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒上映时间：2004-03-15
